border,surface
3.2,0.44
4.4,2
39,61
76,160
10.2,34
120.3,468
1.2,6
10.2,54
359,2586
466,6220
381,5765
1334,20273
740,11295
701,10887
1017,20770
1385,30528
625,13812
1852,41284
454,10452
1254,29743
1389,33846
2197,56594
974,27834
893,26338
1524,49037
535,17364
2562,83871
909,30355
766,25713
4246,143998
1647,56785
1459,51197
1075,38394
30,1104
462,17818
545,21041
3651,143100
720,28748
1027,41528
2881,118484
1881,78865
2171,93028
2013,86600
2027,88361
516,22966
516,23200
5083,236800
1461,69700
724,36125
2926,147181
1273,65300
3878,199951
539,28051
1635,89342
1150,64559
1989,112622
152,9251
1808,110879
5504,342000
1687,108889
228,14874
1585,111369
2572,181035
1183,83534
4639,331212
633,45227
2900,207600
6221,447400
1673,120538
1626,117600
3399,245857
1520,112492
2640,196722
958,71740
1214,92090
360,27750
639,51100
2253,185180
3193,272967
2462,214969
0.34,30
2698,241550
2508,238391
1707,163820
867,83600
3621,357114
4591,475442
3110,322463
3920,406752
2551,267668
3147,330803
4863,513120
1231,130373
1228,131957
2788,312685
2094,238533
1424,163610
5876,676578
1564,181034
6774,796095
5529,652230
5203,622984
3650,438317
6171,756102
2690,338424
2551,323802
3066,390757
2010,256369
4663,603500
3736,488100
5667,752612
4797,644329
360,48671
555,75417
4015,582000
1932,301336
6743,1098581
3477,580367
7243,1240192
4571,801590
4993,912050
6004,1141748
8220,1564110
2889,551500
60,11586
360,70273
2233,450295
5074,1025520
5328,1104300
3936,824268
5968,1284000
10730,2344858
2018,446550
5697,1267000
14103.1,3166414
1374,309500
12012,2724900
4047,923768
5536,1285216
5198,1246700
3861,945087
4862,1221037
1918,505992
2340,637657
6764,1861484
9665,2780400
2648,783562
1746,527968
5440,1648195
6343,2381741
2665,1002000
4348,1759540
238,99828
22147,9596961
4353,1964375
4431,2149690
820,462840
14691,8514877
68,43094
404,266000
360,242900
2830,1910931
12034,9526468
20017,17098242
8893,9984670
0.1,65610
0,199
0,91
0,442
0,180
0,7692024
0,13943
0,765
0,430
0,54
0,49
0,60
0,151
0,4033
0,264
0,135
0,14
0,1862
0,236
0,109886
0,444
0,751
0,12173
0,1393
0,702
0,18272
0,4000
0,7747
0,2166086
0,344
0,1630
0,549
0,78
0,412
0,103000
0,572
0,10991
0,377930
0,116
0,811
0,587041
0,300
0,316
0,181
0,1128
0,2040
0,374
0,102
0,21
0,18575
0,270467
0,260
0,36
0,464
0,459
0,300000
0,47
0,8870
0,2513
0,21
0,308
0,261
0,616
0,242
0,389
0,2842
0,964
0,452
0,710
0,28896
0,3903
0,62045
0,36193
0,12
0,747
0,5130
0,948
0,26
0,347
0,12189
0,142
